epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.327,1.65331,1.74639,1.13573,0.6022,0.43968,0.57273,0.31485,1.71714,6.29948,1.28019,0.0676199,0.000660819,0.000660819
2,407.563,1.60986,1.2607,1.1373,0.53326,0.49303,0.47777,0.26149,1.80587,5.56279,1.2926,0.0349496,0.00132389,0.00132389
3,598.769,1.59625,1.22522,1.13394,0.49539,0.42423,0.43807,0.23937,1.79739,5.23796,1.27283,0.00226498,0.00197258,0.00197258
4,789.92,1.57067,1.17363,1.12738,0.49711,0.53515,0.49891,0.28107,1.66093,2.13867,1.15949,0.00195155,0.00195155,0.00195155
5,991.891,1.49914,1.07359,1.09271,0.73344,0.63676,0.6968,0.42656,1.59354,1.32049,1.12531,0.00191441,0.00191441,0.00191441
6,1191.78,1.4386,1.00213,1.07423,0.78823,0.77048,0.83688,0.53393,1.41576,1.01516,1.04921,0.00186737,0.00186737,0.00186737
7,1389.39,1.40145,0.9574,1.05903,0.83687,0.79485,0.86962,0.58618,1.34477,1.01924,1.02759,0.00181093,0.00181093,0.00181093
8,1613.01,1.352,0.89226,1.03701,0.84536,0.82477,0.89442,0.59892,1.32056,0.8596,1.00924,0.00174571,0.00174571,0.00174571
9,1835.75,1.31793,0.85573,1.02556,0.8382,0.80026,0.90683,0.63165,1.2567,0.79515,0.99505,0.00167244,0.00167244,0.00167244
10,2057.1,1.29645,0.83304,1.02014,0.92856,0.81416,0.91223,0.64475,1.25811,0.78309,0.98822,0.00159191,0.00159191,0.00159191
11,2278.69,1.26569,0.80669,1.00474,0.92674,0.85527,0.93018,0.67802,1.17702,0.69521,0.96803,0.001505,0.001505,0.001505
12,2500.1,1.23982,0.77577,0.99616,0.90884,0.8818,0.94019,0.69602,1.14152,0.67039,0.95032,0.00141267,0.00141267,0.00141267
13,2722.03,1.21491,0.75159,0.98733,0.94544,0.90181,0.95607,0.71384,1.10589,0.6337,0.94392,0.00131593,0.00131593,0.00131593
14,2944.74,1.19954,0.73236,0.9809,0.94287,0.88605,0.95968,0.72492,1.1007,0.621,0.93719,0.00121583,0.00121583,0.00121583
15,3166.7,1.15785,0.71253,0.97166,0.93912,0.90026,0.95384,0.7201,1.09407,0.62053,0.93423,0.00111348,0.00111348,0.00111348
16,3387.89,1.14479,0.68541,0.96413,0.94377,0.90287,0.96272,0.73581,1.04709,0.60071,0.9209,0.00101,0.00101,0.00101
17,3610.07,1.12127,0.66754,0.95954,0.93606,0.90324,0.96453,0.74396,1.02383,0.56539,0.91587,0.000906517,0.000906517,0.000906517
18,3832.2,1.11011,0.65991,0.95556,0.94778,0.89518,0.96763,0.75403,1.01988,0.56727,0.91114,0.000804167,0.000804167,0.000804167
19,4054.5,1.09018,0.63939,0.95151,0.96248,0.90978,0.97117,0.7683,0.99518,0.53859,0.90549,0.000704073,0.000704073,0.000704073
20,4276.26,1.06814,0.62346,0.94309,0.95752,0.9228,0.97155,0.76699,0.97928,0.52564,0.89886,0.000607331,0.000607331,0.000607331
21,4498.18,1.03612,0.59975,0.93575,0.94402,0.93854,0.97567,0.77797,0.94422,0.50884,0.89209,0.000515,0.000515,0.000515
22,4718.39,1.02303,0.58858,0.92595,0.95726,0.93183,0.97549,0.78622,0.91854,0.49842,0.88631,0.000428093,0.000428093,0.000428093
23,4940.17,1.00974,0.58227,0.92532,0.95018,0.94514,0.97979,0.79543,0.90488,0.49148,0.88182,0.000347561,0.000347561,0.000347561
24,5161.3,0.98616,0.5653,0.9201,0.95209,0.94446,0.97834,0.80412,0.88905,0.48278,0.87698,0.000274287,0.000274287,0.000274287
25,5383.78,0.9818,0.56473,0.9196,0.94967,0.94656,0.97926,0.80744,0.87831,0.46684,0.87302,0.000209073,0.000209073,0.000209073
26,5586.26,0.88719,0.47504,0.88643,0.95858,0.94294,0.98115,0.81178,0.8711,0.46172,0.87183,0.000152635,0.000152635,0.000152635
27,5788.71,0.86755,0.46366,0.88293,0.95772,0.94476,0.97941,0.81729,0.84838,0.45225,0.86618,0.00010559,0.00010559,0.00010559
28,5990.58,0.85775,0.4546,0.87913,0.96044,0.94919,0.98129,0.82462,0.84218,0.44791,0.8647,6.8454e-05,6.8454e-05,6.8454e-05
29,6192.8,0.84812,0.45236,0.87895,0.9568,0.95856,0.98144,0.82531,0.83741,0.44383,0.86361,4.16339e-05,4.16339e-05,4.16339e-05
30,6395.18,0.84421,0.44846,0.87915,0.96018,0.95638,0.98214,0.82686,0.8308,0.44063,0.86216,2.54233e-05,2.54233e-05,2.54233e-05
1,341.01,1.50975,1.42301,1.23411,0.79313,0.66487,0.76784,0.49979,1.30693,0.9663,1.06806,0.0675789,0.000661654,0.000661654
2,605.16,1.20121,0.79735,1.0579,0.85449,0.83146,0.88186,0.60378,1.16385,0.70094,1.01717,0.0349087,0.00132472,0.00132472
3,869.909,1.16769,0.7617,1.04596,0.85861,0.81779,0.88647,0.60195,1.17947,0.68786,1.01825,0.00222403,0.00197341,0.00197341
4,1132.64,1.12656,0.72552,1.03484,0.89795,0.83519,0.91161,0.63565,1.13008,0.6575,0.99797,0.00195155,0.00195155,0.00195155
5,1396.54,1.09865,0.6945,1.01758,0.88154,0.83618,0.90464,0.63972,1.10462,0.65352,0.9982,0.00191441,0.00191441,0.00191441
6,1660.3,1.06784,0.66218,1.00799,0.89936,0.84748,0.92262,0.66094,1.07145,0.6368,0.98153,0.00186737,0.00186737,0.00186737
7,1923.71,1.03876,0.63965,0.99573,0.90769,0.87056,0.93269,0.67533,1.03895,0.58884,0.96594,0.00181093,0.00181093,0.00181093
8,2188.51,1.00864,0.61525,0.98471,0.90449,0.86916,0.93753,0.68109,1.01648,0.57632,0.96419,0.00174571,0.00174571,0.00174571
9,2454.53,1.0051,0.602,0.98236,0.91445,0.87503,0.9409,0.69208,1.0137,0.57424,0.9591,0.00167244,0.00167244,0.00167244
10,2716.77,0.97535,0.57884,0.97199,0.92998,0.88925,0.94995,0.70328,0.98981,0.55364,0.94875,0.00159191,0.00159191,0.00159191
11,2979.35,0.96079,0.56801,0.96598,0.91937,0.90483,0.95474,0.71706,0.96402,0.5259,0.94009,0.001505,0.001505,0.001505
12,3242.76,0.95544,0.56157,0.95832,0.92305,0.89851,0.95072,0.71636,0.95209,0.54258,0.93726,0.00141267,0.00141267,0.00141267
13,3506.5,0.93447,0.54284,0.95449,0.93787,0.90523,0.95631,0.72616,0.92937,0.51313,0.93237,0.00131593,0.00131593,0.00131593
14,3770.22,0.91705,0.52962,0.94864,0.92364,0.91228,0.95829,0.73326,0.90367,0.49399,0.92619,0.00121583,0.00121583,0.00121583
15,4034.07,0.90847,0.52178,0.94614,0.93352,0.9159,0.9613,0.74441,0.90176,0.4843,0.92008,0.00111348,0.00111348,0.00111348
16,4298.17,0.89485,0.51112,0.94003,0.93248,0.91774,0.96381,0.74227,0.90481,0.48411,0.91944,0.00101,0.00101,0.00101
17,4561.6,0.87461,0.4984,0.9338,0.94297,0.91448,0.9622,0.74571,0.87877,0.47083,0.91383,0.000906517,0.000906517,0.000906517
18,4825.12,0.86217,0.48699,0.93252,0.94071,0.92075,0.96711,0.7588,0.86762,0.46181,0.9087,0.000804167,0.000804167,0.000804167
19,5087.26,0.84777,0.47566,0.92634,0.94758,0.92558,0.96748,0.76399,0.84857,0.44976,0.90428,0.000704073,0.000704073,0.000704073
20,5351.56,0.84011,0.47151,0.92396,0.94385,0.92227,0.96665,0.76254,0.85654,0.45514,0.90567,0.000607331,0.000607331,0.000607331
21,5614.78,0.82722,0.46098,0.91888,0.94597,0.92926,0.96858,0.76832,0.84148,0.44404,0.90172,0.000515,0.000515,0.000515
22,5878.32,0.81978,0.45648,0.91676,0.94574,0.93277,0.96903,0.77307,0.82162,0.43546,0.89801,0.000428093,0.000428093,0.000428093
23,6141.55,0.80474,0.44754,0.914,0.95196,0.9304,0.96866,0.77355,0.81853,0.43071,0.89616,0.000347561,0.000347561,0.000347561
24,6404.14,0.79761,0.44164,0.91104,0.9551,0.93269,0.97144,0.78224,0.80509,0.42087,0.89317,0.000274287,0.000274287,0.000274287
25,6668.13,0.78766,0.43448,0.90918,0.95035,0.93494,0.97122,0.78294,0.80248,0.4191,0.89256,0.000209073,0.000209073,0.000209073
26,6909.38,0.72411,0.37559,0.88124,0.94837,0.9361,0.97081,0.78408,0.797,0.41534,0.89007,0.000152635,0.000152635,0.000152635
27,7149.62,0.70605,0.36726,0.87755,0.95067,0.93706,0.97185,0.78922,0.78471,0.4071,0.88769,0.00010559,0.00010559,0.00010559
28,7390.61,0.70474,0.36516,0.87663,0.95481,0.93551,0.97189,0.79044,0.78128,0.40558,0.88656,6.8454e-05,6.8454e-05,6.8454e-05
29,7631.78,0.69592,0.36177,0.8729,0.95287,0.93757,0.97171,0.78993,0.78233,0.40677,0.88631,4.16339e-05,4.16339e-05,4.16339e-05
30,7872.84,0.6942,0.35927,0.87254,0.95346,0.93554,0.97183,0.79203,0.77826,0.40503,0.8855,2.54233e-05,2.54233e-05,2.54233e-05
1,338.756,1.56994,1.33115,1.24806,0.84502,0.79191,0.86181,0.5986,1.29068,0.83587,1.06389,0.0675926,0.000661376,0.000661376
2,596.024,1.30651,0.87452,1.10056,0.83849,0.80567,0.87849,0.59405,1.28422,0.89104,1.05045,0.0349223,0.00132444,0.00132444
3,851.98,1.28243,0.85332,1.09544,0.76215,0.78311,0.80776,0.53705,1.29807,0.8516,1.07108,0.00223768,0.00197313,0.00197313
