epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.072,1.941,4.17856,1.28015,0.39717,0.31794,0.20521,0.11481,1.98807,inf,1.38329,0.08138,0.00038,0.00038
2,85.0912,1.79861,1.6513,1.24567,0.22373,0.06995,0.02814,0.01085,3.15162,12.7729,2.77218,0.0617779,0.000777885,0.000777885
3,125.11,1.78339,1.5545,1.24902,0.16775,0.42683,0.14448,0.05928,2.11958,inf,1.84073,0.0421672,0.00116724,0.00116724
4,162.881,1.75085,1.51009,1.25345,0.06547,0.01949,0.01397,0.00527,nan,nan,nan,0.0225417,0.00154172,0.00154172
5,208.134,1.77494,1.49247,1.25003,0.09297,0.11308,0.02641,0.00957,nan,nan,nan,0.00289527,0.00189527,0.00189527
6,250.973,1.7781,1.51631,1.25651,0.14459,0.19927,0.0878,0.03869,nan,nan,nan,0.00186737,0.00186737,0.00186737
1,97.1131,1.69452,2.75774,1.24405,0.20456,0.30694,0.1882,0.08379,2.00462,12.3809,1.82446,0.06815,0.00065,0.00065
2,176.113,1.65532,1.47424,1.26271,0.14344,0.09172,0.03589,0.01276,nan,nan,nan,0.0354798,0.0013131,0.0013131
3,254.779,1.62715,1.44381,1.26111,0.59304,0.12562,0.2355,0.11532,2.19188,25.5546,2.36436,0.00279521,0.00196188,0.00196188
4,332.986,1.65353,1.4164,1.25498,0.41115,0.26165,0.26339,0.12303,1.9535,10.0654,1.64517,0.00195155,0.00195155,0.00195155
5,410.159,1.57003,1.30746,1.22484,0.38818,0.37757,0.33405,0.17921,1.80376,3.99343,1.45991,0.00191441,0.00191441,0.00191441
6,489.771,1.53566,1.24798,1.19397,0.51855,0.50198,0.54657,0.30435,1.57911,7.80469,1.27678,0.00186737,0.00186737,0.00186737
7,565.804,1.48625,1.18698,1.18001,0.6186,0.58242,0.60594,0.3524,1.47425,2.15303,1.19126,0.00181093,0.00181093,0.00181093
8,643.12,1.43361,1.13014,1.15502,0.67082,0.60235,0.68806,0.41225,1.42631,1.88984,1.15828,0.00174571,0.00174571,0.00174571
9,719.788,1.43396,1.09787,1.14746,0.70618,0.62675,0.69308,0.44329,1.37383,1.2947,1.12749,0.00167244,0.00167244,0.00167244
10,797.402,1.42657,1.08541,1.14676,0.7621,0.6699,0.72575,0.45805,1.36694,1.44266,1.12889,0.00159191,0.00159191,0.00159191
11,876.574,1.37014,1.01812,1.12318,0.79689,0.70796,0.78802,0.49239,1.32974,1.00475,1.10033,0.001505,0.001505,0.001505
12,955.547,1.36888,1.0011,1.11755,0.7783,0.76433,0.82479,0.53886,1.2674,0.95605,1.07109,0.00141267,0.00141267,0.00141267
13,1031.76,1.35003,0.98465,1.10036,0.78175,0.77536,0.84032,0.55289,1.26804,0.90246,1.06511,0.00131593,0.00131593,0.00131593
14,1108.01,1.32099,0.9437,1.08869,0.81261,0.77255,0.84458,0.55875,1.23693,0.84573,1.04903,0.00121583,0.00121583,0.00121583
15,1183.92,1.2905,0.9161,1.08697,0.85608,0.78852,0.87301,0.58582,1.18414,0.78439,1.03134,0.00111348,0.00111348,0.00111348
16,1258.94,1.26149,0.8929,1.07051,0.85019,0.7968,0.8687,0.58316,1.20388,0.78892,1.0395,0.00101,0.00101,0.00101
17,1345.7,1.23486,0.86618,1.05598,0.81899,0.81227,0.86712,0.59166,1.17468,0.7909,1.03284,0.000906517,0.000906517,0.000906517
18,1434.34,1.22445,0.84866,1.05405,0.84735,0.81716,0.88087,0.60066,1.16806,0.75653,1.02548,0.000804167,0.000804167,0.000804167
19,1522.53,1.22999,0.84789,1.05174,0.8694,0.83141,0.89621,0.61745,1.12781,0.73143,1.01291,0.000704073,0.000704073,0.000704073
20,1609.93,1.18764,0.81135,1.03772,0.85828,0.82815,0.89111,0.61957,1.11007,0.72338,1.00974,0.000607331,0.000607331,0.000607331
21,1698.27,1.17778,0.79528,1.03727,0.88234,0.83483,0.90477,0.64839,1.07232,0.67449,0.99284,0.000515,0.000515,0.000515
22,1785.85,1.15556,0.77104,1.02597,0.88399,0.85561,0.91399,0.64973,1.07513,0.65154,0.9929,0.000428093,0.000428093,0.000428093
23,1874.2,1.15317,0.75655,1.02847,0.87986,0.8703,0.91701,0.6567,1.06304,0.64299,0.99051,0.000347561,0.000347561,0.000347561
24,1962.69,1.12695,0.72751,1.01697,0.88265,0.87056,0.9241,0.66648,1.04362,0.62249,0.98261,0.000274287,0.000274287,0.000274287
25,2050.9,1.1031,0.70933,1.0091,0.90487,0.85924,0.92827,0.67354,1.02163,0.60867,0.97326,0.000209073,0.000209073,0.000209073
26,2132.59,1.04197,0.61994,0.97642,0.91413,0.86786,0.93051,0.67779,1.01721,0.60165,0.97096,0.000152635,0.000152635,0.000152635
27,2214.12,1.02836,0.61748,0.97268,0.9025,0.88041,0.93555,0.68209,1.01151,0.59191,0.97078,0.00010559,0.00010559,0.00010559
28,2295.55,1.0115,0.59603,0.96598,0.92055,0.87168,0.93517,0.68703,1.00349,0.58355,0.9674,6.8454e-05,6.8454e-05,6.8454e-05
29,2376.87,1.00924,0.5965,0.96832,0.91122,0.88199,0.93668,0.69131,0.99202,0.57766,0.96471,4.16339e-05,4.16339e-05,4.16339e-05
30,2458.31,0.99067,0.58469,0.96565,0.91522,0.87709,0.93637,0.69242,0.99112,0.57392,0.96418,2.54233e-05,2.54233e-05,2.54233e-05
1,154.702,1.68442,2.3388,1.26344,0.38256,0.34189,0.30748,0.1615,1.90409,8.92701,1.589,0.067887,0.000655367,0.000655367
2,295.212,1.63912,1.41919,1.25497,0.27074,0.27155,0.17687,0.07042,2.18941,inf,1.8929,0.0352168,0.00131845,0.00131845
3,414.259,1.68787,1.47577,1.28628,0.13795,0.18705,0.07981,0.03797,nan,nan,nan,0.00253216,0.00196719,0.00196719
4,531.588,1.62735,1.38217,1.26185,0.25348,0.48378,0.29684,0.14067,1.95657,6.62483,1.50775,0.00195155,0.00195155,0.00195155
5,651.889,1.5875,1.30154,1.23081,0.6729,0.41716,0.47828,0.28479,1.66868,2.23164,1.27642,0.00191441,0.00191441,0.00191441
6,770.113,1.53659,1.21585,1.20304,0.64806,0.61027,0.66031,0.39132,1.54785,1.66108,1.20772,0.00186737,0.00186737,0.00186737
7,893.615,1.47781,1.1818,1.18527,0.66404,0.64683,0.7098,0.43278,1.50047,1.62737,1.18543,0.00181093,0.00181093,0.00181093
8,1019.25,1.45233,1.12239,1.16924,0.71009,0.62848,0.70568,0.44228,1.48887,1.33373,1.17223,0.00174571,0.00174571,0.00174571
9,1149.78,1.42517,1.09765,1.15684,0.79731,0.71436,0.78753,0.49687,1.45217,1.07792,1.14444,0.00167244,0.00167244,0.00167244
10,1279.07,1.40345,1.05272,1.14015,0.78074,0.67084,0.76114,0.47361,1.46525,1.24823,1.15805,0.00159191,0.00159191,0.00159191
11,1413.34,1.38163,1.02142,1.13077,0.80649,0.75222,0.8322,0.53078,1.3711,0.97859,1.11082,0.001505,0.001505,0.001505
12,1541.23,1.35338,0.99106,1.11507,0.79997,0.74862,0.8267,0.54519,1.35558,1.00203,1.10418,0.00141267,0.00141267,0.00141267
13,1677.63,1.33259,0.9626,1.10749,0.79431,0.78664,0.85688,0.57268,1.32076,0.92686,1.07784,0.00131593,0.00131593,0.00131593
14,1808.54,1.32677,0.94199,1.10414,0.82141,0.76289,0.83788,0.54565,1.35564,0.8999,1.09125,0.00121583,0.00121583,0.00121583
15,1937.34,1.28919,0.90092,1.09074,0.83549,0.80453,0.86667,0.58688,1.31877,0.84657,1.08332,0.00111348,0.00111348,0.00111348
16,2069.04,1.27117,0.87427,1.0762,0.87223,0.82186,0.89467,0.61199,1.25905,0.79415,1.0601,0.00101,0.00101,0.00101
17,2197.48,1.24998,0.85588,1.06988,0.87738,0.82107,0.89372,0.61079,1.25536,0.78873,1.05795,0.000906517,0.000906517,0.000906517
18,2326.9,1.23163,0.8269,1.0587,0.87735,0.84504,0.90438,0.62127,1.24096,0.75771,1.04481,0.000804167,0.000804167,0.000804167
19,2458.12,1.20886,0.80391,1.05046,0.88614,0.83141,0.90504,0.6381,1.20208,0.7297,1.03254,0.000704073,0.000704073,0.000704073
20,2590.04,1.18669,0.78332,1.04495,0.88128,0.84588,0.91318,0.64498,1.18506,0.73771,1.0274,0.000607331,0.000607331,0.000607331
21,2708.2,1.18126,0.77621,1.03793,0.89408,0.85668,0.92383,0.65251,1.17915,0.71043,1.02156,0.000515,0.000515,0.000515
22,2819.22,1.15432,0.749,1.02818,0.90246,0.85648,0.92514,0.66037,1.16076,0.67187,1.0096,0.000428093,0.000428093,0.000428093
23,2947.1,1.14399,0.73525,1.02494,0.9052,0.8712,0.93151,0.67157,1.1424,0.65918,1.00643,0.000347561,0.000347561,0.000347561
24,3076.93,1.1137,0.70702,1.00986,0.89061,0.87593,0.93286,0.67156,1.12733,0.65452,0.99896,0.000274287,0.000274287,0.000274287
25,3204.16,1.10054,0.69006,1.00651,0.92033,0.87215,0.93735,0.68917,1.10542,0.63563,0.99653,0.000209073,0.000209073,0.000209073
26,3325.52,1.03004,0.60195,0.97923,0.91156,0.88494,0.94065,0.68915,1.10531,0.61658,0.99279,0.000152635,0.000152635,0.000152635
27,3446.8,1.01508,0.58345,0.97195,0.91964,0.88001,0.94358,0.69663,1.08953,0.61266,0.98998,0.00010559,0.00010559,0.00010559
28,3568.58,0.99468,0.57651,0.9659,0.92132,0.88013,0.94644,0.69775,1.08008,0.60583,0.98686,6.8454e-05,6.8454e-05,6.8454e-05
29,3689.93,0.9845,0.56638,0.96037,0.93336,0.87189,0.94687,0.70218,1.07017,0.59816,0.98365,4.16339e-05,4.16339e-05,4.16339e-05
30,3809.55,0.97507,0.55897,0.96049,0.93067,0.87628,0.94908,0.70384,1.06521,0.59096,0.98247,2.54233e-05,2.54233e-05,2.54233e-05
1,149.881,1.52025,2.03007,1.20645,0.43142,0.40642,0.42048,0.24129,1.6773,6.08263,1.45271,0.0677468,0.000658228,0.000658228
2,305.868,1.47931,1.27942,1.20557,0.26619,0.24101,0.18343,0.08949,2.18941,18.0262,1.72764,0.0350766,0.0013213,0.0013213
3,472.26,1.4912,1.28017,1.21627,0.29235,0.29131,0.22192,0.10564,2.07567,2.94206,1.65191,0.00239196,0.00197002,0.00197002
4,644.052,1.4676,1.22844,1.21552,0.4756,0.45829,0.45431,0.27171,1.61342,4.54384,1.29611,0.00195155,0.00195155,0.00195155
5,817.718,1.38197,1.12188,1.16703,0.54768,0.50857,0.52654,0.32412,1.63726,2.4067,1.27539,0.00191441,0.00191441,0.00191441
6,988.944,1.33791,1.06557,1.14788,0.74307,0.62796,0.69387,0.44562,1.4431,1.49126,1.18409,0.00186737,0.00186737,0.00186737
7,1162.43,1.29947,1.01635,1.1271,0.78527,0.66966,0.75675,0.48909,1.39696,1.13236,1.14677,0.00181093,0.00181093,0.00181093
8,1337.26,1.27486,0.9848,1.11368,0.76219,0.69124,0.77267,0.51636,1.35929,1.02455,1.11903,0.00174571,0.00174571,0.00174571
9,1510.02,1.24348,0.93569,1.09723,0.77181,0.74459,0.81043,0.52617,1.34978,0.93764,1.10171,0.00167244,0.00167244,0.00167244
10,1681.92,1.21623,0.89696,1.08479,0.80831,0.71175,0.81624,0.55462,1.28732,0.91934,1.08522,0.00159191,0.00159191,0.00159191
11,1854.93,1.17729,0.86295,1.07001,0.82145,0.76837,0.83278,0.57336,1.2704,0.90064,1.07393,0.001505,0.001505,0.001505
12,2029.55,1.17738,0.85665,1.07275,0.77851,0.73139,0.8103,0.54083,1.28615,0.92372,1.08948,0.00141267,0.00141267,0.00141267
13,2202.92,1.13922,0.81289,1.04941,0.8297,0.77916,0.85586,0.59396,1.20665,0.8753,1.05098,0.00131593,0.00131593,0.00131593
14,2375.41,1.12522,0.80004,1.04201,0.84205,0.79831,0.87251,0.61789,1.16524,0.78014,1.03375,0.00121583,0.00121583,0.00121583
15,2549.07,1.10608,0.77631,1.03794,0.8563,0.82952,0.89492,0.63966,1.15119,0.75124,1.0294,0.00111348,0.00111348,0.00111348
16,2720.78,1.07767,0.74776,1.02697,0.87455,0.8277,0.89839,0.64638,1.12436,0.73613,1.01511,0.00101,0.00101,0.00101
17,2891.96,1.05279,0.72516,1.01657,0.86911,0.83447,0.90002,0.65051,1.11924,0.70613,1.01713,0.000906517,0.000906517,0.000906517
18,3064.11,1.0525,0.7161,1.0132,0.88001,0.84959,0.91202,0.65793,1.09799,0.68209,1.0068,0.000804167,0.000804167,0.000804167
19,3238.61,1.02694,0.68897,1.00279,0.87732,0.8513,0.91682,0.67058,1.09107,0.67022,0.99998,0.000704073,0.000704073,0.000704073
20,3412.2,1.02696,0.68287,1.00037,0.89724,0.86312,0.9245,0.68548,1.06458,0.6498,0.99759,0.000607331,0.000607331,0.000607331
21,3568.56,1.00466,0.66092,0.99297,0.90811,0.86759,0.92968,0.69424,1.04086,0.63007,0.98194,0.000515,0.000515,0.000515
22,3733.48,0.98565,0.64467,0.98549,0.90839,0.87227,0.93038,0.69422,1.03326,0.6245,0.97828,0.000428093,0.000428093,0.000428093
23,3883.69,0.97115,0.62585,0.97916,0.91625,0.87479,0.93841,0.70763,1.01412,0.5942,0.96955,0.000347561,0.000347561,0.000347561
24,4055.1,0.95537,0.61894,0.97651,0.91842,0.88341,0.94,0.70941,1.00563,0.5857,0.97175,0.000274287,0.000274287,0.000274287
25,4226.46,0.94189,0.60196,0.97338,0.92949,0.88851,0.94681,0.72331,0.9777,0.5569,0.96202,0.000209073,0.000209073,0.000209073
26,4385.93,0.87981,0.51675,0.93665,0.92435,0.88558,0.94648,0.72097,0.98042,0.56133,0.9582,0.000152635,0.000152635,0.000152635
27,4545.67,0.86202,0.50689,0.9289,0.9274,0.89436,0.9495,0.72624,0.96171,0.55033,0.95453,0.00010559,0.00010559,0.00010559
