epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.946,1.69675,1.8959,1.15587,0.57682,0.48827,0.48827,0.25783,1.9145,2.4465,1.3229,0.0676809,0.000659574,0.000659574
2,425.102,1.64254,1.3234,1.15159,0.44013,0.29776,0.29131,0.14303,1.88875,2.69725,1.31778,0.0350106,0.00132264,0.00132264
3,583.852,1.6426,1.28091,1.15908,0.47214,0.47376,0.43679,0.24187,1.85851,5.68942,1.30642,0.00232596,0.00197135,0.00197135
4,746.963,1.59871,1.22913,1.13894,0.51919,0.55808,0.52555,0.28977,1.73437,2.46647,1.22466,0.00195155,0.00195155,0.00195155
5,908.698,1.52684,1.11708,1.10807,0.75359,0.66356,0.73799,0.45735,1.58115,1.2296,1.13503,0.00191441,0.00191441,0.00191441
6,1070.63,1.48047,1.06372,1.08604,0.78357,0.75779,0.82649,0.52147,1.45026,1.01548,1.06698,0.00186737,0.00186737,0.00186737
7,1231.66,1.44417,1.00245,1.0731,0.79311,0.79302,0.85849,0.57145,1.37868,0.95419,1.03681,0.00181093,0.00181093,0.00181093
8,1401.75,1.39332,0.94406,1.05338,0.84874,0.78244,0.8645,0.56527,1.33834,0.95425,1.02619,0.00174571,0.00174571,0.00174571
9,1562.73,1.37561,0.91701,1.04737,0.88517,0.83403,0.89661,0.60747,1.29923,0.84131,1.00686,0.00167244,0.00167244,0.00167244
10,1730.66,1.33279,0.87789,1.02779,0.88445,0.83365,0.90775,0.61758,1.2753,0.82624,0.99098,0.00159191,0.00159191,0.00159191
11,1899.47,1.31293,0.85395,1.01927,0.86771,0.87146,0.91458,0.63244,1.25069,0.79254,0.99037,0.001505,0.001505,0.001505
12,2068.86,1.29075,0.82575,1.01364,0.88564,0.88189,0.93979,0.69033,1.19622,0.71939,0.96824,0.00141267,0.00141267,0.00141267
13,2226.68,1.25592,0.79112,1.00036,0.9164,0.8719,0.94025,0.68058,1.18946,0.71017,0.96212,0.00131593,0.00131593,0.00131593
14,2384.23,1.23481,0.77285,0.99413,0.91622,0.88979,0.94375,0.69238,1.18258,0.6822,0.95655,0.00121583,0.00121583,0.00121583
15,2543.18,1.20625,0.7438,0.98044,0.93556,0.8885,0.94734,0.70712,1.13881,0.6636,0.94661,0.00111348,0.00111348,0.00111348
16,2702.03,1.19392,0.73577,0.97978,0.91515,0.89286,0.94913,0.70889,1.11268,0.64815,0.93859,0.00101,0.00101,0.00101
17,2860.87,1.1742,0.70796,0.97096,0.93231,0.89783,0.96,0.73339,1.07613,0.61138,0.92572,0.000906517,0.000906517,0.000906517
18,3024.07,1.15472,0.69062,0.96564,0.93789,0.92152,0.96416,0.74555,1.04975,0.59217,0.91736,0.000804167,0.000804167,0.000804167
19,3189.17,1.12797,0.66764,0.95791,0.94195,0.93008,0.96677,0.74488,1.03471,0.57195,0.91771,0.000704073,0.000704073,0.000704073
20,3366.56,1.11146,0.66171,0.95564,0.93126,0.94301,0.96929,0.75849,1.01778,0.55347,0.90729,0.000607331,0.000607331,0.000607331
21,3542.3,1.09278,0.64765,0.95021,0.94329,0.92212,0.96898,0.75305,0.99504,0.54586,0.90515,0.000515,0.000515,0.000515
22,3762.76,1.07194,0.62448,0.94128,0.9427,0.93413,0.97056,0.7734,0.96959,0.5306,0.89721,0.000428093,0.000428093,0.000428093
23,4014.02,1.05586,0.61731,0.94001,0.93896,0.94713,0.97432,0.77878,0.9552,0.52064,0.89164,0.000347561,0.000347561,0.000347561
24,4190.5,1.03072,0.598,0.93219,0.94646,0.94063,0.97371,0.78426,0.93786,0.50615,0.88784,0.000274287,0.000274287,0.000274287
